Severity;Time;Host;Problem;Urgency;Assignment Group
Warning;20.03.21 13:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;20.03.21 08:20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;20.03.21 07:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;20.03.21 02:20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;20.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.03.21 21:49;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;19.03.21 20:15;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;19.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;19.03.21 15:35;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;19.03.21 14:50;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;19.03.21 13:08;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;19.03.21 08:10;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;19.03.21 07:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;19.03.21 02:10;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;19.03.21 01:33;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Warning;19.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 20:05;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 14:00;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 13:08;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 08:00;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 07:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;18.03.21 02:00;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;18.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 20:00;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 13:55;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 13:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 07:55;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 07:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;17.03.21 01:50;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;17.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;16.03.21 23:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;16.03.21 23:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;16.03.21 20:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 19:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 16:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:34;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:27;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:17;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 15:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 14:48;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 14:32;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 13:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 07:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;16.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 22:33;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 19:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 13:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 07:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;15.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;14.03.21 19:09;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;14.03.21 14:10;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;13.03.21 19:45;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;13.03.21 19:07;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;13.03.21 01:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;13.03.21 01:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;12.03.21 19:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;12.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;12.03.21 13:45;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;12.03.21 13:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;11.03.21 19:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;11.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;11.03.21 14:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;11.03.21 07:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;11.03.21 07:07;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;11.03.21 01:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;11.03.21 01:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 19:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 19:07;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 13:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 13:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 07:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 07:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;10.03.21 01:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;10.03.21 01:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;09.03.21 19:40;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;09.03.21 19:04;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;09.03.21 16:00;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;09.03.21 16:00;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.03.21 15:19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;09.03.21 15:18;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Information;09.03.21 14:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;09.03.21 14:05;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;09.03.21 13:20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;08.03.21 15:29;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;08.03.21 15:22;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Warning;08.03.21 14:57;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;08.03.21 12:24;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;08.03.21 12:06;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;07.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;07.03.21 18:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;07.03.21 13:50;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;07.03.21 07:06;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 19:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;06.03.21 17:05;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Information;06.03.21 13:55;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;06.03.21 13:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 12:50;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;06.03.21 08:50;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;06.03.21 03:00;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;06.03.21 02:28;DC1;CPU privileged time is too high (over 30% for 5m);2 - Medium;Data Center Services
Warning;06.03.21 02:26;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 02:09;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 01:57;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 01:14;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;06.03.21 01:05;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;05.03.21 21:34;GitLab Contabo;/etc/passwd has been changed;3 - High;Data Center Services
Information;05.03.21 20:55;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;05.03.21 20:55;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.03.21 19:40;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;05.03.21 18:20;DC1;"""UsoSvc"" (Update Orchestrator Service) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;05.03.21 18:20;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;05.03.21 18:01;SSTG4400;sda: Disk read/write request responses are too high (read > 20 ms for 15m or write > 20 ms for 15m);2 - Medium;Data Center Services
Average;05.03.21 16:43;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;05.03.21 16:20;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;05.03.21 15:27;GitLab Contabo;BWC Contabo has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;05.03.21 15:26;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Information;05.03.21 14:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;05.03.21 14:09;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;05.03.21 13:27;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;05.03.21 13:19;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;05.03.21 12:44;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;05.03.21 11:30;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;05.03.21 10:24;SSTG4400;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Information;05.03.21 08:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;05.03.21 02:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;05.03.21 01:47;vpn;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;05.03.21 00:46;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.03.21 20:53;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;04.03.21 20:39;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;04.03.21 20:35;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Average;04.03.21 20:33;SSTG4400;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;04.03.21 20:27;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Average;04.03.21 19:27;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;04.03.21 19:27;Zabbix server;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Warning;04.03.21 19:27;SSTG4400;High CPU utilization (over 90% for 5m);3 - High;Data Center Services
Information;04.03.21 17:30;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.03.21 15:21;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 15:21;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:33;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:33;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:12;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.03.21 14:09;GS1900-24;Interface GigabitEthernet5( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;04.03.21 11:55;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 08:20;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 02:15;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 00:36;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.03.21 00:30;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 20:21;GS1900-10HP Gartenhaus;Interface GigabitEthernet6(): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 20:05;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 17:49;GitLab Contabo;BWC Contabo has been restarted (uptime < 10m);2 - Medium;Data Center Services
Information;03.03.21 17:49;GitLab Contabo;/etc/passwd has been changed;3 - High;Data Center Services
Information;03.03.21 17:15;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 16:41;SSTG4400;/data/R10_2000G: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;03.03.21 16:20;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Information;03.03.21 14:18;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 13:35;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 12:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 07:25;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 02:30;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 02:30;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;03.03.21 00:50;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 00:35;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.03.21 00:15;GS1900-24;Interface GigabitEthernet7( ): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.03.21 00:15;GS1900-24;Interface GigabitEthernet7( ): High bandwidth usage ( > 90% );1 - Low;Network Services
High;28.02.21 04:28;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 04:28;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 04:28;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 04:28;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;28.02.21 03:20;px4-300d;Free disk space is less than 2% on volume /mnt/pools/A/A0;3 - High;Data Center Services
Warning;28.02.21 01:15;px4-300d;Free disk space is less than 10% on volume /mnt/pools/A/A0;2 - Medium;Data Center Services
Warning;27.02.21 15:10;asterisk;asterisk has been restarted (uptime < 10m);2 - Medium;Data Center Services
Information;25.02.21 20:01;px4-300d;Operational status was changed on px4-300d interface bond0;3 - High;Data Center Services
Average;25.02.21 19:25;Zabbix server;Load average is too high (per CPU load over 1.5 for 5m);2 - Medium;Data Center Services
Warning;25.02.21 19:19;sysmail;sysmail has been restarted (uptime < 10m);3 - High;Data Center Services
Average;25.02.21 19:14;sysmail;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;25.02.21 19:12;sysmail;Unavailable by ICMP ping;3 - High;Network Services
Information;25.02.21 19:06;px4-300d;Operational status was changed on px4-300d interface bond0;3 - High;Data Center Services
Average;25.02.21 19:01;sql-server;/: Disk space is critically low (used > 90%);3 - High;Data Center Services
Warning;25.02.21 18:53;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;25.02.21 18:52;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Information;25.02.21 18:51;FritzBox;Change of public IPv6 address;3 - High;Data Center Services
Information;25.02.21 18:51;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
Warning;25.02.21 18:51;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
Warning;25.02.21 18:24;GS1900-10HP Gartenhaus;No SNMP data collection;2 - Medium;Network Services
Average;25.02.21 18:14;Zabbix server;Zabbix unreachable poller processes more than 75% busy;2 - Medium;Data Center Services
Warning;25.02.21 18:10;Zabbix server;Zabbix server has been restarted (uptime < 10m);2 - Medium;Data Center Services
High;25.02.21 15:52;Webcam Terrasse;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:51;FritzBox;WAN not connected;3 - High;Data Center Services
High;25.02.21 15:51;FritzBox;WAN interface down;3 - High;Data Center Services
Information;25.02.21 15:51;FritzBox;Change of public IPv6 address;3 - High;Data Center Services
Information;25.02.21 15:51;FritzBox;Change of public IPv4 address;3 - High;Data Center Services
Average;25.02.21 15:49;sysmail;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:49;sql-server;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:49;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:49;vpn;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;25.02.21 15:48;Webcam Gang Vorne;HTTP service is down on Webcam Gang Vorne;3 - High;Data Center Services
Average;25.02.21 15:48;Webcam Gartenhaus;HTTP service is down on Webcam Gartenhaus;3 - High;Data Center Services
Average;25.02.21 15:48;Webcam Gang;HTTP service is down on Webcam Gang;3 - High;Data Center Services
Average;25.02.21 15:48;Webcam Terrasse;HTTP service is down on Webcam Terrasse;3 - High;Data Center Services
High;25.02.21 15:47;Fritz Repeater;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;asterisk;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;Webcam Gang Vorne;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;Webcam Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;Webcam Gang;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;sysmail;Unavailable by ICMP ping;3 - High;Network Services
High;25.02.21 15:47;sql-server;Unavailable by ICMP ping;3 - High;Network Services
